,timestamp_start,start_y,start_x
92,2016-11-14 19:00:00,5335486.45892593,687595.474365033
93,2016-11-14 19:30:00,5334327.80837477,692655.894593871
94,2016-11-15 19:30:00,5334327.80837477,692655.894593871
95,2016-11-16 18:00:00,5335017.31013438,699701.115453656
96,2016-11-16 19:00:00,5334327.80837477,692655.894593871
97,2016-11-16 19:00:00,5335486.45892593,687595.474365033
98,2016-11-16 19:00:00,5334327.80837477,692655.894593871
99,2016-11-17 10:00:00,5341539.63337759,694047.753758906
100,2016-11-17 18:00:00,5335017.31013438,699701.115453656
101,2016-11-17 19:00:00,5335486.45892593,687595.474365033
102,2016-11-17 19:00:00,5334327.80837477,692655.894593871
103,2016-11-17 19:00:00,5335486.45892593,687595.474365033
104,2016-11-17 19:00:00,5334327.80837477,692655.894593871
105,2016-11-18 08:00:00,5341539.63337759,694047.753758906
